N,Similarity
1,0.99150
2,0.99722
3,0.99821
4,0.99884
5,0.99890
6,0.99931
7,0.99920
8,0.99193
9,0.99473
10,0.98811
11,0.99163
12,0.99249
13,0.99030
14,0.99223
15,0.99460
16,0.99189
17,0.99231
18,0.99287
19,0.99347
20,0.99062
