N,Similarity
1,0.99650
2,0.99956
3,0.99833
4,0.99785
5,0.99813
6,0.99793
7,0.99814
8,0.99720
9,0.99421
10,0.99627
11,0.99812
12,0.99823
13,0.99780
14,0.99797
15,0.99813
16,0.99825
17,0.99806
18,0.99787
19,0.99780
20,0.99752
